	new_el	N_Z	N	Z	A	el	o	ME_keV	ME_unc_keV	BE_keV	BE_unc_keV	B	Q_keV	Q_unc_keV	mass_micro_u	mass_unc_micro_u	extrapol	mass_prec
3291	0.0	58	154	96	250	Cm	-nn	72989.588	10.274	7478.9385	0.0411	B-	37.582	10.6414	250078357.541	11.029	False	2.8294862121895457
3292		56	153	97	250	Bk	+a	72952.006	2.898	7475.9594	0.0116	B-	1781.6696	2.4561	250078317.195	3.11	False	2.901567845440079
3293		54	152	98	250	Cf	-a	71170.336	1.538	7479.9567	0.0062	B-	-2055.0	100.0	250076404.494	1.65	False	2.935796570336048
3294		52	151	99	250	Es	-	73225.0	100.0	7469.0	0.0	B-	-847.0	100.0	250078611.0	107.0	True	
3295		50	150	100	250	Fm		74072.193	7.888	7462.0905	0.0316	B-	-4326.9476	91.2615	250079519.765	8.468	False	2.8449672397641783
3296		48	149	101	250	Md		78399.14	90.92	7441.6533	0.3637	B-	-3167.0	220.0	250084164.934	97.606	False	2.691674793786308
3297		46	148	102	250	No	-a	81566.0	200.0	7426.0	1.0	B-			250087565.0	215.0	True	
3298	0.0	59	155	96	251	Cm	+	76647.981	22.698	7466.7233	0.0904	B-	1420.0	20.0	251082284.988	24.367	False	2.7818000123793283
3299		57	154	97	251	Bk	+	75227.981	10.734	7469.2637	0.0428	B-	1093.0	10.0	251080760.555	11.523	False	2.827132550063802
3300		55	153	98	251	Cf	-a	74134.981	3.901	7470.5014	0.0155	B-	-376.566	6.4677	251079587.171	4.187	False	2.8853199098932327
3301		53	152	99	251	Es	-a	74511.547	5.288	7465.8842	0.0211	B-	-1447.261	15.2387	251079991.431	5.676	False	2.8681849621470157
3302		51	151	100	251	Fm		75958.808	14.292	7457.0013	0.0569	B-	-3007.9406	23.7108	251081545.13	15.342	False	2.810046714431219
3303		49	150	101	251	Md	+a	78966.749	18.919	7441.9005	0.0754	B-	-3882.0	182.0	251084774.287	20.31	False	2.793015407874212
3304		47	149	102	251	No	IT	82849.0	181.0	7423.0	1.0	B-	-4981.0	270.0	251088942.0	194.0	True	
3305		45	148	103	251	Lr	x	87830.0	200.0	7400.0	1.0	B-			251094289.0	215.0	True	
3306	0.0	60	156	96	252	Cm	x	79056.0	298.0	7460.0	1.0	B-	521.0	359.0	252084870.0	320.0	True	
